,Link,Title,Company,Location,Salary,Days
372,https://in.indeed.com/company/Technians-Softech/jobs/IT-Business-Analyst-c9c211f67c07fb0a?fccid=648e744fa5e7c05f&vjs=3,IT Business Analyst,Technians Softech Pvt Ltd.,"Gurgaon, Haryana","₹5,00,000 - ₹10,00,000 a year",EmployerActive 2 days ago
76,https://in.indeed.com/company/Xotiv-Technologies/jobs/Technical-Business-Analyst-7696a12470cead74?fccid=db71a9475441b219&vjs=3,Technical Business Analyst,Xotiv Technologies,"Delhi, Delhi","₹5,00,000 - ₹15,00,000 a year",EmployerActive 1 day ago
625,https://in.indeed.com/company/Capgemini-Invent/jobs/Business-Analyst-ee5b4eaffe82b062?fccid=5d72e2fe76078b02&vjs=3,Business Analyst,Capgemini Invent,"Bengaluru, Karnataka","₹5,00,000 - ₹16,00,000 a year",EmployerActive 4 days ago
731,https://in.indeed.com/company/Stratmed/jobs/Senior-Data-Analyst-5c6e486f5b8528c8?fccid=fde96455f205d7a9&vjs=3,Sr. Data Analyst,StratMed,"Bengaluru, Karnataka","₹5,00,000 - ₹6,00,000 a year",EmployerActive 4 days ago
307,https://in.indeed.com/company/TBG-Group/jobs/Analyst-Data-Analyst-52e39dd4f64d6613?fccid=e5e5e1c0f4dfebc1&vjs=3,Analyst/Data Analyst,TBG GROUP,"Hyderabad, Telangana","₹5,00,000 - ₹8,00,000 a year",EmployerActive 10 days ago
589,https://in.indeed.com/company/ESSVEE-SERVICES/jobs/Manager-db5621dc0115c0ce?fccid=83c5735883bdce56&vjs=3,"Manager, Data Analytics",ESSVEE SERVICES,Remote,"₹50,000 - ₹55,000 a month",EmployerActive 10 days ago
67,https://in.indeed.com/company/Neolytix-LLC/jobs/US-Healthcare-Reporting-de7937583d926ab2?fccid=8371c65b13ed135f&vjs=3,US Healthcare Reporting - Sr Analyst - Remote,Neolytix,"Remote in New Delhi, Delhi+2 locations","₹6,00,000 - ₹10,00,000 a year",EmployerActive 3 days ago
709,https://in.indeed.com/company/Top-Talent-Techonologies-Pvt-Ltd/jobs/Business-Analyst-5dba1ca3629d28cb?fccid=46741b30c1dca25c&vjs=3,Business Analyst,Top Talent Techonologies Pvt Ltd,"Bengaluru, Karnataka","₹6,00,000 - ₹15,00,000 a year",EmployerActive 2 days ago
415,https://in.indeed.com/company/Future-Technosoft/jobs/Marketing-Research-Analyst-cdd39f270ae1a8f6?fccid=b9461455104ef364&vjs=3,Marketing Research Analyst,Future Technosoft,"Gurgaon, Haryana","₹6,00,000 - ₹8,00,000 a year",EmployerActive 1 day ago
859,https://in.indeed.com/company/Quadraflake-Consulting-Private-Limited/jobs/SQL-Data-ETL-Analyst-6d9bb3431b3a5c1b?fccid=9c07d3aa6b07a8a8&vjs=3,SQL Data/ETL Analyst,Quadraflake Consulting Private Limited,"Chennai, Tamil Nadu","₹6,00,000 - ₹8,00,000 a year",EmployerActive 2 days ago
280,https://in.indeed.com/company/Automotive-Robotics/jobs/Data-Analyst-ffbcb39f4326467e?fccid=f612571968628c6b&vjs=3,Data Analyst,Automotive Robotics,"Chennai, Tamil Nadu","₹8,00,000 - ₹11,00,000 a year",EmployerActive 9 days ago
89,https://in.indeed.com/company/Spectrum-Infra-Ventures-Pvt.-Ltd./jobs/Data-Analyst-827cc3a4eede7679?fccid=e6cfa743ddb867c5&vjs=3,Data Analyst,Spectrum Infra Ventures Pvt. Ltd.,"Delhi, Delhi","₹8,000 - ₹15,000 a month",EmployerActive 1 day ago
157,https://in.indeed.com/company/Spectrum-Infra-Ventures-Pvt.-Ltd./jobs/Data-Analyst-827cc3a4eede7679?fccid=e6cfa743ddb867c5&vjs=3,Data Analyst,Spectrum Infra Ventures Pvt. Ltd.,"Delhi, Delhi","₹8,000 - ₹15,000 a month",EmployerActive 1 day ago
